federal_district_id,federal_district_code,federal_district_name
1,04,Приволжский федеральный округ
2,03,Южный федеральный округ
3,08,Кавказский федеральный округ
4,06,Сибирский федеральный округ
5,02,Западный федеральный округ
6,05,Уральский федеральный округ
7,01,Центральный федеральный округ
8,07,Дальневосточный федеральный округ
